:grinning:	😀
:knife:	🔪
:dagger:	🗡
:dagger_knife:	🗡
:crossed_swords:	⚔
:shield:	🛡
:smoking:	🚬
:coffin:	⚰
:urn:	⚱
:funeral_urn:	⚱
:amphora:	🏺
:crystal_ball:	🔮
:prayer_beads:	📿
:barber:	💈
:alembic:	⚗
:telescope:	🔭
:microscope:	🔬
:hole:	🕳
:pill:	💊
:syringe:	💉
:thermometer:	🌡
:toilet:	🚽
:potable_water:	🚰
:shower:	🚿
:bathtub:	🛁
:bath:	🛀
:bellhop:	🛎
:bellhop_bell:	🛎
:key:	🔑
:key2:	🗝
:old_key:	🗝
:door:	🚪
:couch:	🛋
:couch_and_lamp:	🛋
:bed:	🛏
:sleeping_accommodation:	🛌
:frame_photo:	🖼
:frame_with_picture:	🖼
:shopping_bags:	🛍
:shopping_cart:	🛒
:shopping_trolley:	🛒
:gift:	🎁
:balloon:	🎈
:flags:	🎏
:ribbon:	🎀
:confetti_ball:	🎊
:tada:	🎉
:dolls:	🎎
:izakaya_lantern:	🏮
:wind_chime:	🎐
:envelope:	✉
:envelope_with_arrow:	📩
:incoming_envelope:	📨
:e-mail:	📧
:email:	📧
:love_letter:	💌
:inbox_tray:	📥
:outbox_tray:	📤
:package:	📦
:label:	🏷
:mailbox_closed:	📪
:mailbox:	📫
:mailbox_with_mail:	📬
:mailbox_with_no_mail:	📭
:postbox:	📮
:postal_horn:	📯
:scroll:	📜
:page_with_curl:	📃
:page_facing_up:	📄
:bookmark_tabs:	📑
:bar_chart:	📊
:chart_with_upwards_trend:	📈
:chart_with_downwards_trend:	📉
:notepad_spiral:	🗒
:spiral_note_pad:	🗒
:calendar_spiral:	🗓
:spiral_calendar_pad:	🗓
:calendar:	📆
:date:	📅
:card_index:	📇
:card_box:	🗃
:card_file_box:	🗃
:ballot_box:	🗳
:ballot_box_with_ballot:	🗳
:file_cabinet:	🗄
:clipboard:	📋
:file_folder:	📁
:open_file_folder:	📂
:dividers:	🗂
:card_index_dividers:	🗂
:newspaper2:	🗞
:rolled_up_newspaper:	🗞
:newspaper:	📰
:notebook:	📓
:notebook_with_decorative_cover:	📔
:ledger:	📒
:closed_book:	📕
:green_book:	📗
:blue_book:	📘
:orange_book:	📙
:books:	📚
:book:	📖
:bookmark:	🔖
:link:	🔗
:paperclip:	📎
:paperclips:	🖇
:linked_paperclips:	🖇
:triangular_ruler:	📐
:straight_ruler:	📏
:pushpin:	📌
:round_pushpin:	📍
:scissors:	✂
:pen_ballpoint:	🖊
:lower_left_ballpoint_pen:	🖊
:pen_fountain:	🖋
:lower_left_fountain_pen:	🖋
:black_nib:	✒
:paintbrush:	🖌
:lower_left_paintbrush:	🖌
:crayon:	🖍
:lower_left_crayon:	🖍
:pencil:	📝
:memo:	📝
:pencil2:	✏
:mag:	🔍
:mag_right:	🔎
:lock_with_ink_pen:	🔏
:closed_lock_with_key:	🔐
:lock:	🔒
:unlock:	🔓
:orange_heart:	🧡
:heart:	❤
:yellow_heart:	💛
:green_heart:	💚
:blue_heart:	💙
:purple_heart:	💜
:black_heart:	🖤
:broken_heart:	💔
:heart_exclamation:	❣
:heavy_heart_exclamation_mark_ornament:	❣
:two_hearts:	💕
:revolving_hearts:	💞
:heartbeat:	💓
:heartpulse:	💗
:sparkling_heart:	💖
:cupid:	💘
:gift_heart:	💝
:heart_decoration:	💟
:peace:	☮
:peace_symbol:	☮
:cross:	✝
:latin_cross:	✝
:star_and_crescent:	☪
:om_symbol:	🕉
:wheel_of_dharma:	☸
:star_of_david:	✡
:six_pointed_star:	🔯
:menorah:	🕎
:yin_yang:	☯
:orthodox_cross:	☦
:place_of_worship:	🛐
:worship_symbol:	🛐
:ophiuchus:	⛎
:aries:	♈
:taurus:	♉
:gemini:	♊
:cancer:	♋
:leo:	♌
:virgo:	♍
:libra:	♎
:scorpius:	♏
:sagittarius:	♐
:capricorn:	♑
:aquarius:	♒
:pisces:	♓
:id:	🆔
:atom:	⚛
:atom_symbol:	⚛
:accept:	🉑
:radioactive:	☢
:radioactive_sign:	☢
:biohazard:	☣
:biohazard_sign:	☣
:mobile_phone_off:	📴
:vibration_mode:	📳
:u6709:	🈶
:u7121:	🈚
:u7533:	🈸
:u55b6:	🈺
:u6708:	🈷
:eight_pointed_black_star:	✴
:vs:	🆚
:white_flower:	💮
:ideograph_advantage:	🉐
:secret:	㊙
:congratulations:	㊗
:u5408:	🈴
:u6e80:	🈵
:u5272:	🈹
:u7981:	🈲
:a:	🅰
:b:	🅱
:ab:	🆎
:cl:	🆑
:o2:	🅾
:sos:	🆘
:x:	❌
:o:	⭕
:octagonal_sign:	🛑
:stop_sign:	🛑
:no_entry:	⛔
:name_badge:	📛
:no_entry_sign:	🚫
:100:	💯
:anger:	💢
:hotsprings:	♨
:no_pedestrians:	🚷
:do_not_litter:	🚯
:no_bicycles:	🚳
:non-potable_water:	🚱
:underage:	🔞
:no_mobile_phones:	📵
:no_smoking:	🚭
:exclamation:	❗
:grey_exclamation:	❕
:question:	❓
:grey_question:	❔
:bangbang:	‼
:interrobang:	⁉
:low_brightness:	🔅
:high_brightness:	🔆
:part_alternation_mark:	〽
:warning:	⚠
